"region","network"
"lh_caudalanteriorcingulate",7
"lh_caudalmiddlefrontal",7
"lh_cuneus",1
"lh_entorhinal",7
"lh_fusiform",5
"lh_inferiorparietal",4
"lh_inferiortemporal",7
"lh_isthmuscingulate",6
"lh_lateraloccipital",3
"lh_lateralorbitofrontal",6
"lh_lingual",1
"lh_medialorbitofrontal",7
"lh_middletemporal",5
"lh_parahippocampal",3
"lh_paracentral",2
"lh_parsopercularis",7
"lh_parsorbitalis",7
"lh_parstriangularis",6
"lh_pericalcarine",1
"lh_postcentral",3
"lh_posteriorcingulate",7
"lh_precentral",6
"lh_precuneus",3
"lh_rostralanteriorcingulate",5
"lh_rostralmiddlefrontal",4
"lh_superiorfrontal",4
"lh_superiorparietal",1
"lh_superiortemporal",5
"lh_supramarginal",7
"lh_transversetemporal",2
"lh_insula",7
"rh_caudalanteriorcingulate",7
"rh_caudalmiddlefrontal",4
"rh_cuneus",1
"rh_entorhinal",5
"rh_fusiform",3
"rh_inferiorparietal",4
"rh_inferiortemporal",7
"rh_isthmuscingulate",6
"rh_lateraloccipital",3
"rh_lateralorbitofrontal",6
"rh_lingual",1
"rh_medialorbitofrontal",7
"rh_middletemporal",5
"rh_parahippocampal",5
"rh_paracentral",2
"rh_parsopercularis",7
"rh_parsorbitalis",7
"rh_parstriangularis",7
"rh_pericalcarine",1
"rh_postcentral",3
"rh_posteriorcingulate",7
"rh_precentral",4
"rh_precuneus",3
"rh_rostralanteriorcingulate",5
"rh_rostralmiddlefrontal",4
"rh_superiorfrontal",4
"rh_superiorparietal",1
"rh_superiortemporal",5
"rh_supramarginal",7
"rh_transversetemporal",2
"rh_insula",7
